businessname,legalowner,namelast,namefirst,licenseno,issdttm,expdttm,licstatus,licensecat,descript,result,resultdttm,violdesc,violstatus,comments,address,city,state,zip
BROADWAY PASTRY,,Aobh Inc.,Arian Hysenaj,148349,2015-10-02T08:21:49Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-24T14:59:20Z,Drying Mops (C),Pass,Discontinue placing soiled in use mops and brooms stored directly on the floor when  NOT in use - keep inside the mop bucket and / or elevated off the floor as discussed,258 W Broadway,South Boston,MA,2127
BROADWAY PASTRY,,Aobh Inc.,Arian Hysenaj,148349,2015-10-02T08:21:49Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-24T14:59:20Z,,Fail,Post 2021 health permit in a conspicuous location as discussed,258 W Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Clean Condition-Outer Clothing (C),Pass,Ensure all food handlers have on clean aprons and / or uniforms during food preperation and cooking procedures. Much accumulation of food spills currently on the aprons of prep cooks,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),Pass,Ensure all foods are elevated off the floor in all areas of the restaurant a minmimum of six inches -  keep all raw proteins stored underneath all fresh produce and other ready to eat foods in all refrigeration units to reduve potential contamination,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Food Contact with Equipment  Utensils  and Linens (P),Pass,Blade of the ice cream dispenser is visibly compromised   remove to clean and / or replace if soils are unable to be remove  necessary iun order to continue use,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Wiping Cloths  Use Limitation (C),Pass,Set up as discussed - one for raw foods and one for ready to eat foods,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Ventilation Hood Systems  Filters (C),Pass,Clean to remove built up grease on the hood filters where needed,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Wiping Cloths  Air Drying Location (C),Pass,Discontinue discarding soiled wiping cloths on the floor. store as discussed to reduce potential contamination,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Using a Handwashing Sink-Operation and Maintenance (Pf),Pass,Rinsing out wiping cloths in the hand sinkl then air drying them along the side - discard practices and keep all hand sinks clean and accessable as discussed,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Grease Trap(C),Pass,Clean to remove grease and grime,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Clean floors and walls in the kitchen prep areas where needed from all visible food spills  stains and soils,483 E Broadway,South Boston,MA,2127
BROADWAY'S BEST PIZZA,,Yalcinkaya,Ismail,407350,2019-09-23T12:55:22Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-03T15:55:43Z,Wall and Ceiling Coverings and Coatings (C),Pass,Replace stained and / or compromised ceiling tiles where needed,483 E Broadway,South Boston,MA,2127
BURGER KING,Omar Bentaj/iftikhar Bhati,North East Foods Llc,Shoukat Dhanani,86896,2013-02-27T09:25:07Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-08T15:36:18Z,Nonfood-Contact Surfaces (C),Fail,Shelving units in the refrigerated walk in units appear compromised with peeling black paint - clean and resurface as discussed or replace as discussed during inspection                                                                                                                                                              There is a metal unit attached to an exposed wooden plank in the rear of the restaurant  resurface wooden shelf as discussed PIC was unable to explain the proper use for the unit  address,280 W Broadway,South Boston,MA,2127
BURGER KING,Omar Bentaj/iftikhar Bhati,North East Foods Llc,Shoukat Dhanani,86896,2013-02-27T09:25:07Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-08T15:36:18Z,Walls and Ceilings  Attachments (C),Fail,Several areas of the walls and floor of the refrigerated walk-in unit have started to rot from rust and condensation - need to address the compromised locations as to remove all affected areas and replace as discussed during inspection.  Compromised areas are worse where the walls and floor meet  especially by the entrance - address as discussed during inspection,280 W Broadway,South Boston,MA,2127
BURGER KING,Omar Bentaj/iftikhar Bhati,North East Foods Llc,Shoukat Dhanani,86896,2013-02-27T09:25:07Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-08T15:36:18Z,Designation-Dressing Areas and Lockers (C),Pass,The area segragated for the dressing room and lockers is insufficient. No lockers or clean furniture for staff to properly put on clean uniforms   shoes and aprons. Current location needs to cleaned  remove soiled shelves and provide a suitable area for staff to change and store their personal belongings as discussed during inspection,280 W Broadway,South Boston,MA,2127
C & G SERVICE,,C & G Service Corp.,,129879,2015-04-30T11:25:42Z,2021-12-31T23:59:00Z,Active,RF,Retail Food,HE_Filed,2021-01-27T15:37:45Z,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),Fail,Ensure all cases of soda  water and chips are stored elevated off the floor a minimum of six inches during srorage as discussed,77  L ST,South Boston,MA,2127
CAFE MAMTAZ,Bishop,Saimon Abe Llc,Mohammad Alam,34590,2012-02-06T10:44:08Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2020-11-13T15:56:19Z,(A) Certified Food Protection Manager (C),Pass,Ensure a current food safety certificate is available as discussed on premise,87   L STREET ST,SOUTH BOSTON,MA,2127
CAFE MAMTAZ,Bishop,Saimon Abe Llc,Mohammad Alam,34590,2012-02-06T10:44:08Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2020-11-13T15:56:19Z,Handwashing Aids and Devices  Use Restrictions (C),Pass,Paper towel dispenser above the prep hand sink is compromised - replace or address as discussed,87   L STREET ST,SOUTH BOSTON,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,(A) Certified Food Protection Manager (C),Pass,Post a current copy of a food safety and allergen certificate as discussed,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Washing Fruits and Vegetables (C),Pass,designate and identify the prep sink as discussed,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Cooling (P),Pass,Cooling large batches of soup in deep metal pots - minimize as discussed and cool within the time frame discussed during inspection,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Sponges Use Limitation (C),Pass,Discontinue use of sponges to clean food contact surfaces,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Temperature Measuring Devices  Food-Accuracy (Pf),Pass,No food thermometer on site - provide,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Service Sink (C),Pass,Enclose the slop sink l;ocation as discussed,611   Dorchester AVE,South Boston,MA,2127
CAFE POLONIA,Darek Barcikowski,Darek Barcikowski,,22381,2012-02-15T13:50:54Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-22T14:48:03Z,Handwashing Signage  (C),Pass,"Provide "" HAND WASHING ONLY ' signs above all designated hand sinks",611   Dorchester AVE,South Boston,MA,2127
CAFE PORTO BELLO,,Steven Costa/vincent,Amato,20251,2011-12-09T11:34:48Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Filed,2020-11-20T15:19:46Z,Effectiveness-Hair Restraints (C),Fail,Ensure all employees working with foods have on proper hair restraints as discussed,672 E Broadway,South Boston,MA,2127
CAFE PORTO BELLO,,Steven Costa/vincent,Amato,20251,2011-12-09T11:34:48Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Filed,2020-11-20T15:19:46Z,Thawing (C),Fail,Thawing frozen scallops in stagnant water  discontinue and thaw as discussed,672 E Broadway,South Boston,MA,2127
CAFE PORTO BELLO,,Steven Costa/vincent,Amato,20251,2011-12-09T11:34:48Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Filed,2020-11-20T15:19:46Z,Maintaining Premises  Unnecessary Items and Litter (C),Fail,Ensure all personal clothing  bags and articles are stored segragated from food service and food service areas as discussed,672 E Broadway,South Boston,MA,2127
CAFFE NERO,,Caffe Nero America's Inc.,Michael Deagan,319055,2017-12-19T10:29:19Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Filed,2021-03-23T14:16:48Z,Nonfood-Contact Surfaces (C),Fail,Clean inside and the exterior of all refrigeration / freezer units as well as the outside of the ice bin from visible food soils,416 W Broadway,South Boston,MA,2127
CLOCK TAVERN,,Paul,Adamson,18229,2012-01-09T15:06:56Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T14:37:19Z,Compliance with Food Law  (Pf),Pass,PIC was unable to provide wholesale receipts for food being served on the premises  ensure all foods being sold at the facility are purchased from a reputable commercial wholesaler as discussed during inspection,342 W BROADWAY,SOUTH BOSTON,MA,2127
CLOCK TAVERN,,Paul,Adamson,18229,2012-01-09T15:06:56Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T14:37:19Z,Sponges Use Limitation (C),Pass,Discontinue use of sponges to clean top of bar and other food contact surfaces sponges are o.k for NON- food contact surfaces as discussed during inspection [ floors and walls ],342 W BROADWAY,SOUTH BOSTON,MA,2127
CLOCK TAVERN,,Paul,Adamson,18229,2012-01-09T15:06:56Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T14:37:19Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Pooling water from the snow and ice accumulation by the front entrance  clean to remove throughout the day during hours of operation,342 W BROADWAY,SOUTH BOSTON,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Compliance with Food Law  (Pf),Pass,Several foods are being ourchased from retail facilities  discontinue and only purchase foods from a professionally licensed wholesale company as discussed,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Food Labels (Pf),Pass,Several baked goods out for retail sale do not have a proper label to provide ingredients and allergen information  address,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Nonfood-Contact Surfaces (C),Pass,Clean inside and outside of all refrigeration uniuts   cooking equipment  inside of the microwave as well as the exterior of all bilk food storage bins,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Temperature Measuring Devices-Functionality  (C),Pass,Ensure food thermometer is clean and in proper working order  battery was replaced during inspection,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Service Sink (C),Pass,Address as discussed - current location is too small,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Clean floors  walls and ceiling areas where needed from visible food spills  stains and soils,11   Elkins ST,South Boston,MA,2127
COFFEE SHOP,Rekowski Andrew,Rekowski,Andrew,18489,2011-12-16T11:32:12Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-12T11:11:44Z,,Pass,The permit is in renewals  ensure2021 health permit has been paid for upon re-inspection,11   Elkins ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,Coppersmith Hall L L C,,127125,2015-09-18T08:41:43Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2020-12-09T15:47:47Z,(A)-(P) Person-In-Charge-Duties (Pf),Pass,No current food safety certificate on site - new staff in the kitchen but no one has proper credentials  address as discussed,30 W Third ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,Coppersmith Hall L L C,,127125,2015-09-18T08:41:43Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2020-12-09T15:47:47Z,Ice (P),Pass,Interior of the ice machine is visibly soiled  around the lid and surrounding areas - clean to remove all visible soils,30 W Third ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,Coppersmith Hall L L C,,127125,2015-09-18T08:41:43Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2020-12-09T15:47:47Z,In-Use Utensils  Between-Use Storage (C),Pass,Store ice scoop as discussed [ in a clean area with the handle facing outward ],30 W Third ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,Coppersmith Hall L L C,,127125,2015-09-18T08:41:43Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2020-12-09T15:47:47Z,Nonfood-Contact Surfaces (C),Pass,Clean exterior of the ice machine   clean exterior nof all cooking equipment  clean inside and outside of all refrigeration / freezer units from visible food spills  stains and soils,30 W Third ST,South Boston,MA,2127
COPPERSMITH HALL,Conticast Corporation,Coppersmith Hall L L C,,127125,2015-09-18T08:41:43Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2020-12-09T15:47:47Z,Manual Warewashing Equipment  Heaters and Baskets (Pf),Pass,Blue plastic barriers at the ends of the ware washing machine are visibly compromised - replace,30 W Third ST,South Boston,MA,2127
CROKE PARK,,John D. Mccormack,,19674,2011-12-23T11:25:26Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-03-17T15:10:46Z,Ice (P),Pass,Clean interior of ice machine from all soils   especially under the lid,268 W Broadway,South Boston,MA,2127
CROKE PARK,,John D. Mccormack,,19674,2011-12-23T11:25:26Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-03-17T15:10:46Z,Wiping Cloths  Air Drying Location (C),Pass,,268 W Broadway,South Boston,MA,2127
CROKE PARK,,John D. Mccormack,,19674,2011-12-23T11:25:26Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-03-17T15:10:46Z,Toilets and Urinals (C),Pass,Clean restrooms from all visible soils and obnoxious odors,268 W Broadway,South Boston,MA,2127
CROKE PARK,,John D. Mccormack,,19674,2011-12-23T11:25:26Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-03-17T15:10:46Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Clean floors behind the bar as well as all other areas to remove bottle caps and loose debris - clean walls behind the bar from visible splashes,268 W Broadway,South Boston,MA,2127
